timestamp,open,high,low,close,volume
2025-03-03 08:00:00,1.0002,1.0003,1.0002,1.0002,54794827.0
2025-03-03 09:00:00,1.0002,1.0004,1.0002,1.0003,104765431.0
2025-03-03 10:00:00,1.0004,1.0004,1.0002,1.0002,52680140.0
2025-03-03 11:00:00,1.0002,1.0003,1.0001,1.0003,90070873.0
2025-03-03 12:00:00,1.0002,1.0003,1.0002,1.0002,39952249.0
2025-03-03 13:00:00,1.0003,1.0003,1.0001,1.0002,67856479.0
2025-03-03 14:00:00,1.0002,1.0003,1.0001,1.0003,107780715.0
2025-03-03 15:00:00,1.0003,1.0005,1.0002,1.0005,112255220.0
2025-03-03 16:00:00,1.0005,1.0007,1.0004,1.0004,108359212.0
2025-03-03 17:00:00,1.0005,1.0006,1.0004,1.0005,92669227.0
2025-03-03 18:00:00,1.0005,1.0005,1.0002,1.0005,134953212.0
2025-03-03 19:00:00,1.0004,1.0007,1.0004,1.0006,92705809.0
2025-03-03 20:00:00,1.0007,1.0009,1.0006,1.0008,81038289.0
2025-03-03 21:00:00,1.0008,1.0008,1.0006,1.0007,54710888.0
2025-03-03 22:00:00,1.0006,1.0008,1.0006,1.0006,45362495.0
2025-03-03 23:00:00,1.0007,1.0007,1.0006,1.0006,17041408.0
2025-03-04 00:00:00,1.0006,1.0007,1.0006,1.0006,26252742.0
2025-03-04 01:00:00,1.0006,1.0008,1.0006,1.0007,60128945.0
2025-03-04 02:00:00,1.0006,1.0007,1.0006,1.0007,59191786.0
2025-03-04 03:00:00,1.0006,1.0007,1.0004,1.0005,59277004.0
2025-03-04 04:00:00,1.0004,1.0005,1.0003,1.0004,96583620.0
2025-03-04 05:00:00,1.0005,1.0005,1.0004,1.0004,53615375.0
2025-03-04 06:00:00,1.0005,1.0006,1.0004,1.0005,54811974.0
2025-03-04 07:00:00,1.0006,1.0006,1.0005,1.0006,59496437.0
2025-03-04 08:00:00,1.0006,1.0006,1.0005,1.0005,59811413.0
2025-03-04 09:00:00,1.0005,1.0006,1.0004,1.0005,75796964.0
2025-03-04 10:00:00,1.0004,1.0005,1.0003,1.0005,61959911.0
2025-03-04 11:00:00,1.0004,1.0005,1.0003,1.0004,100173440.0
2025-03-04 12:00:00,1.0004,1.0005,1.0004,1.0004,34530510.0
2025-03-04 13:00:00,1.0005,1.0005,1.0004,1.0005,51430935.0
2025-03-04 14:00:00,1.0005,1.0008,1.0004,1.0006,128258476.0
2025-03-04 15:00:00,1.0006,1.0007,1.0006,1.0007,58225122.0
2025-03-04 16:00:00,1.0007,1.0007,1.0005,1.0005,58268357.0
2025-03-04 17:00:00,1.0005,1.0006,1.0003,1.0004,97500986.0
2025-03-04 18:00:00,1.0004,1.0004,1.0003,1.0003,42501526.0
2025-03-04 19:00:00,1.0003,1.0004,1.0001,1.0002,105576840.0
2025-03-04 20:00:00,1.0001,1.0003,1.0,1.0002,90207052.0
2025-03-04 21:00:00,1.0002,1.0003,1.0002,1.0003,53763632.0
2025-03-04 22:00:00,1.0002,1.0003,1.0002,1.0002,26015502.0
2025-03-04 23:00:00,1.0002,1.0003,1.0002,1.0002,27745910.0
2025-03-05 00:00:00,1.0002,1.0003,1.0002,1.0002,18317049.0
2025-03-05 01:00:00,1.0002,1.0003,1.0002,1.0003,30802773.0
2025-03-05 02:00:00,1.0002,1.0003,1.0002,1.0002,43137378.0
2025-03-05 03:00:00,1.0002,1.0003,1.0002,1.0002,43322360.0
2025-03-05 04:00:00,1.0003,1.0003,1.0002,1.0002,58118481.0
2025-03-05 05:00:00,1.0002,1.0003,1.0001,1.0002,42587391.0
2025-03-05 06:00:00,1.0001,1.0002,1.0001,1.0001,51445633.0
2025-03-05 07:00:00,1.0001,1.0002,1.0001,1.0001,30754886.0
2025-03-05 08:00:00,1.0001,1.0002,1.0001,1.0001,49569029.0
2025-03-05 09:00:00,1.0001,1.0002,1.0,1.0001,74253616.0
2025-03-05 10:00:00,1.0001,1.0002,1.0,1.0,71474128.0
2025-03-05 11:00:00,1.0,1.0002,1.0,1.0,77627078.0
2025-03-05 12:00:00,1.0,1.0001,1.0,1.0001,34860085.0
2025-03-05 13:00:00,1.0001,1.0001,1.0,1.0,91121631.0
2025-03-05 14:00:00,1.0,1.0002,1.0,1.0,88416381.0
2025-03-05 15:00:00,1.0001,1.0002,1.0,1.0001,94915090.0
2025-03-05 16:00:00,1.0001,1.0002,1.0,1.0002,49213991.0
2025-03-05 17:00:00,1.0001,1.0002,1.0001,1.0001,28635068.0
2025-03-05 18:00:00,1.0001,1.0002,1.0,1.0001,31394310.0
2025-03-05 19:00:00,1.0,1.0002,1.0,1.0,46035535.0
2025-03-05 20:00:00,1.0,1.0001,1.0,1.0,33725641.0
2025-03-05 21:00:00,1.0,1.0001,1.0,1.0001,34895470.0
2025-03-05 22:00:00,1.0,1.0001,1.0,1.0001,18469656.0
2025-03-05 23:00:00,1.0,1.0001,1.0,1.0001,27931366.0
2025-03-06 00:00:00,1.0001,1.0001,1.0,1.0,31928440.0
2025-03-06 01:00:00,1.0001,1.0001,1.0,1.0,25610796.0
2025-03-06 02:00:00,1.0001,1.0001,1.0,1.0,131609103.0
2025-03-06 03:00:00,1.0,1.0001,1.0,1.0,56020534.0
2025-03-06 04:00:00,1.0,1.0001,0.9999,1.0,54665316.0
2025-03-06 05:00:00,0.9999,1.0,0.9999,1.0,42181659.0
2025-03-06 06:00:00,1.0,1.0,0.9998,1.0,91859888.0
2025-03-06 07:00:00,0.9999,1.0,0.9999,0.9999,46667173.0
2025-03-06 08:00:00,1.0,1.0,0.9997,0.9999,162728812.0
2025-03-06 09:00:00,0.9998,1.0,0.9998,0.9999,70992752.0
2025-03-06 10:00:00,0.9999,1.0,0.9999,1.0,58889674.0
2025-03-06 11:00:00,1.0,1.0,0.9999,0.9999,18456408.0
2025-03-06 12:00:00,1.0,1.0001,0.9999,1.0,103132525.0
2025-03-06 13:00:00,0.9999,1.0001,0.9999,1.0,148576450.0
2025-03-06 14:00:00,1.0,1.0001,0.9999,0.9999,105083760.0
2025-03-06 15:00:00,1.0,1.0001,0.9999,1.0,75176389.0
2025-03-06 16:00:00,1.0,1.0001,1.0,1.0001,57547007.0
2025-03-06 17:00:00,1.0001,1.0001,1.0,1.0,58737104.0
2025-03-06 18:00:00,1.0001,1.0001,1.0,1.0,29357109.0
2025-03-06 19:00:00,1.0001,1.0001,1.0,1.0,34439965.0
2025-03-06 20:00:00,1.0,1.0001,0.9999,0.9999,30734457.0
2025-03-06 21:00:00,1.0,1.0,0.9999,0.9999,37629913.0
2025-03-06 22:00:00,1.0,1.0,0.9999,1.0,26542283.0
2025-03-06 23:00:00,0.9999,1.0,0.9999,0.9999,13716120.0
2025-03-07 00:00:00,1.0,1.0,0.9999,1.0,71887981.0
2025-03-07 01:00:00,1.0,1.0,0.9999,1.0,57221473.0
2025-03-07 02:00:00,0.9999,1.0,0.9998,0.9998,44923555.0
2025-03-07 03:00:00,0.9998,1.0,0.9998,1.0,47832695.0
2025-03-07 04:00:00,0.9999,1.0,0.9999,1.0,24616677.0
2025-03-07 05:00:00,1.0,1.0,0.9999,1.0,47203839.0
2025-03-07 06:00:00,0.9999,1.0,0.9999,1.0,25428431.0
2025-03-07 07:00:00,1.0,1.0,0.9998,0.9999,54909985.0
2025-03-07 08:00:00,0.9998,1.0,0.9998,1.0,90267424.0
2025-03-07 09:00:00,1.0,1.0,0.9998,0.9999,83345825.0
2025-03-07 10:00:00,0.9998,0.9999,0.9998,0.9998,44038164.0
2025-03-07 11:00:00,0.9998,1.0,0.9998,1.0,26957258.0
2025-03-07 12:00:00,0.9999,1.0,0.9999,0.9999,30735990.0
2025-03-07 13:00:00,1.0,1.0,0.9998,0.9998,77950957.0
2025-03-07 14:00:00,0.9999,0.9999,0.9998,0.9998,40940963.0
2025-03-07 15:00:00,0.9998,0.9999,0.9998,0.9999,58382821.0
2025-03-07 16:00:00,0.9999,1.0,0.9998,1.0,95528552.0
2025-03-07 17:00:00,1.0,1.0,0.9999,1.0,64681580.0
2025-03-07 18:00:00,1.0,1.0001,0.9999,1.0,54682532.0
2025-03-07 19:00:00,1.0,1.0001,1.0,1.0001,35387152.0
2025-03-07 20:00:00,1.0001,1.0003,1.0,1.0003,58936290.0
2025-03-07 21:00:00,1.0003,1.0003,1.0002,1.0003,44226107.0
2025-03-07 22:00:00,1.0003,1.0003,1.0002,1.0003,24942625.0
2025-03-07 23:00:00,1.0003,1.0003,1.0002,1.0002,14791163.0
2025-03-08 00:00:00,1.0003,1.0003,1.0002,1.0002,12581990.0
2025-03-08 01:00:00,1.0002,1.0003,1.0002,1.0003,19918608.0
2025-03-08 02:00:00,1.0003,1.0003,1.0002,1.0003,9183290.0
2025-03-08 03:00:00,1.0002,1.0003,1.0002,1.0003,17608814.0
2025-03-08 04:00:00,1.0002,1.0003,1.0001,1.0002,29179078.0
2025-03-08 05:00:00,1.0002,1.0002,1.0001,1.0002,18014866.0
2025-03-08 06:00:00,1.0001,1.0002,1.0,1.0001,42585840.0
2025-03-08 07:00:00,1.0001,1.0001,1.0,1.0001,8352143.0
2025-03-08 08:00:00,1.0001,1.0001,1.0,1.0001,15252405.0
2025-03-08 09:00:00,1.0001,1.0001,1.0,1.0,9964710.0
2025-03-08 10:00:00,1.0001,1.0001,1.0,1.0001,9901621.0
2025-03-08 11:00:00,1.0001,1.0002,1.0,1.0002,20529459.0
2025-03-08 12:00:00,1.0001,1.0002,1.0001,1.0001,13379827.0
2025-03-08 13:00:00,1.0002,1.0002,1.0001,1.0002,21785378.0
